time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180106:0000,10.07,78.0,0.0,-0.0,0.0,265.8,3.38,251.0,97545.0
20180106:0100,9.81,74.7,0.0,-0.0,0.0,265.6,3.52,248.0,97409.0
20180106:0200,9.58,71.7,0.0,-0.0,0.0,267.4,3.38,248.0,97293.0
20180106:0300,9.42,70.55,0.0,-0.0,0.0,270.8,3.1,247.0,97196.0
20180106:0400,9.19,70.65,0.0,-0.0,0.0,276.6,3.1,247.0,97109.0
20180106:0500,9.07,70.2,0.0,-0.0,0.0,286.0,2.97,244.0,97012.0
20180106:0600,8.72,71.65,0.0,-0.0,0.0,274.6,2.62,235.0,96925.0
20180106:0700,10.46,72.55,0.0,-0.0,0.0,276.8,1.45,252.0,96838.0
20180106:0800,10.9,72.65,37.0,0.0,37.0,273.4,1.03,230.0,96780.0
20180106:0900,10.83,77.0,91.0,3.57,90.0,284.0,1.1,178.0,96741.0
20180106:1000,11.9,75.55,88.0,0.0,88.0,299.8,2.21,182.0,96731.0
20180106:1100,11.03,83.75,60.0,0.0,60.0,309.2,3.38,205.0,96693.0
20180106:1200,10.45,85.55,380.0,267.51,244.0,318.0,4.28,224.0,96605.0
20180106:1300,10.79,82.3,279.0,84.1,238.0,320.2,4.0,228.0,96499.0
20180106:1400,11.29,79.7,168.0,11.97,163.0,309.8,4.83,227.0,96479.0
20180106:1500,10.92,80.95,148.0,49.37,133.0,314.2,4.9,234.0,96499.0
20180106:1600,10.9,74.9,52.0,13.02,50.0,329.0,4.69,246.0,96538.0
20180106:1700,10.77,69.6,0.0,-0.0,0.0,310.0,4.21,253.0,96586.0
20180106:1800,10.36,69.1,0.0,-0.0,0.0,297.8,3.93,256.0,96683.0
20180106:1900,10.03,65.5,0.0,-0.0,0.0,295.8,3.72,250.0,96741.0
20180106:2000,9.47,68.85,0.0,-0.0,0.0,294.4,3.59,253.0,96799.0
20180106:2100,8.72,71.6,0.0,-0.0,0.0,273.4,3.45,256.0,96828.0
20180106:2200,8.08,71.8,0.0,-0.0,0.0,263.4,3.52,262.0,96857.0
20180106:2300,7.55,71.15,0.0,-0.0,0.0,261.8,3.59,267.0,96848.0
20180107:0000,7.07,69.75,0.0,-0.0,0.0,256.8,3.38,274.0,96867.0
20180107:0100,6.73,68.8,0.0,-0.0,0.0,251.6,3.03,278.0,96848.0
20180107:0200,6.28,68.85,0.0,-0.0,0.0,245.0,2.97,280.0,96838.0
20180107:0300,5.79,69.5,0.0,-0.0,0.0,243.6,2.69,287.0,96857.0
20180107:0400,5.22,71.85,0.0,-0.0,0.0,251.8,2.14,301.0,96828.0
20180107:0500,5.48,69.2,0.0,-0.0,0.0,256.8,1.31,311.0,96789.0
20180107:0600,5.58,69.3,0.0,-0.0,0.0,261.6,1.17,282.0,96915.0
20180107:0700,6.03,70.25,0.0,-0.0,0.0,257.6,1.1,264.0,96964.0
20180107:0800,5.07,73.75,26.0,0.0,26.0,250.2,1.72,279.0,97003.0
20180107:0900,6.67,68.35,266.0,693.72,71.0,249.0,1.93,263.0,97061.0
20180107:1000,8.88,58.0,369.0,564.34,142.0,248.8,2.76,238.0,97167.0
20180107:1100,9.84,52.65,243.0,39.55,224.0,250.8,3.45,231.0,97158.0
20180107:1200,10.48,47.8,546.0,901.59,86.0,255.2,4.14,225.0,97158.0
20180107:1300,10.71,43.95,514.0,857.72,94.0,254.0,4.48,223.0,97148.0
20180107:1400,10.52,42.95,437.0,866.32,73.0,254.4,4.48,221.0,97158.0
20180107:1500,10.13,44.55,291.0,695.07,78.0,250.0,4.48,221.0,97196.0
20180107:1600,9.48,47.8,119.0,428.8,52.0,247.4,3.93,225.0,97274.0
20180107:1700,8.6,53.25,0.0,-0.0,0.0,243.8,3.17,229.0,97322.0
20180107:1800,7.77,58.55,0.0,-0.0,0.0,240.8,2.83,234.0,97380.0
20180107:1900,7.04,64.5,0.0,-0.0,0.0,255.6,2.76,234.0,97419.0
20180107:2000,6.26,71.05,0.0,-0.0,0.0,253.4,2.69,233.0,97458.0
20180107:2100,5.74,75.05,0.0,-0.0,0.0,260.2,2.62,236.0,97477.0
20180107:2200,5.61,78.3,0.0,-0.0,0.0,272.0,2.34,235.0,97545.0
20180107:2300,5.32,82.2,0.0,-0.0,0.0,263.2,2.48,232.0,97545.0
20180108:0000,5.17,85.4,0.0,-0.0,0.0,267.0,2.34,234.0,97564.0
20180108:0100,5.15,86.9,0.0,-0.0,0.0,276.8,2.28,245.0,97574.0
20180108:0200,5.01,87.0,0.0,-0.0,0.0,271.0,2.07,258.0,97594.0
20180108:0300,4.88,85.45,0.0,-0.0,0.0,264.2,1.93,268.0,97613.0
20180108:0400,4.57,83.85,0.0,-0.0,0.0,263.8,2.0,272.0,97671.0
20180108:0500,4.23,82.1,0.0,-0.0,0.0,255.4,2.07,277.0,97690.0
20180108:0600,3.97,81.6,0.0,-0.0,0.0,263.6,2.07,281.0,97758.0
20180108:0700,4.36,82.2,0.0,-0.0,0.0,276.6,2.07,275.0,97797.0
20180108:0800,4.55,81.75,42.0,0.0,42.0,274.8,1.79,281.0,97884.0
20180108:0900,6.19,78.15,253.0,613.75,80.0,276.4,1.45,278.0,97942.0
20180108:1000,8.6,66.25,399.0,768.45,89.0,267.4,1.72,254.0,97971.0
20180108:1100,9.73,59.15,461.0,651.53,147.0,271.0,2.0,234.0,98020.0
20180108:1200,10.5,53.45,529.0,841.57,98.0,268.4,2.28,218.0,97991.0
20180108:1300,10.84,52.35,534.0,1010.32,37.0,272.2,2.55,201.0,97962.0
20180108:1400,10.83,53.85,387.0,586.73,139.0,279.6,2.62,193.0,97923.0
20180108:1500,10.47,56.3,299.0,779.6,58.0,278.2,2.28,190.0,97942.0
20180108:1600,10.04,58.65,106.0,276.7,62.0,271.4,1.38,187.0,98000.0
20180108:1700,9.56,62.4,0.0,-0.0,0.0,263.2,0.97,172.0,98049.0
20180108:1800,8.71,78.65,0.0,-0.0,0.0,263.0,0.76,154.0,98146.0
20180108:1900,8.72,73.8,0.0,-0.0,0.0,267.8,0.83,110.0,98214.0
20180108:2000,8.78,73.2,0.0,-0.0,0.0,273.0,0.41,24.0,98291.0
20180108:2100,8.46,76.0,0.0,-0.0,0.0,282.8,0.55,340.0,98320.0
20180108:2200,8.18,78.5,0.0,-0.0,0.0,279.2,0.69,319.0,98369.0
20180108:2300,7.58,81.35,0.0,-0.0,0.0,269.2,1.1,308.0,98388.0
20180109:0000,6.03,86.4,0.0,-0.0,0.0,263.4,1.45,310.0,98456.0
20180109:0100,4.86,88.85,0.0,-0.0,0.0,263.4,1.72,311.0,98436.0
20180109:0200,4.21,88.85,0.0,-0.0,0.0,258.2,1.79,312.0,98504.0
20180109:0300,3.79,88.2,0.0,-0.0,0.0,260.8,1.86,310.0,98485.0
20180109:0400,3.54,86.7,0.0,-0.0,0.0,261.4,1.93,303.0,98543.0
20180109:0500,3.15,85.6,0.0,-0.0,0.0,255.6,2.14,300.0,98591.0
20180109:0600,2.92,85.3,0.0,-0.0,0.0,258.0,2.21,300.0,98659.0
20180109:0700,3.72,83.8,0.0,-0.0,0.0,272.0,1.86,299.0,98737.0
20180109:0800,4.01,83.7,35.0,0.0,35.0,276.8,1.79,292.0,98776.0
20180109:0900,6.39,75.55,268.0,735.59,60.0,263.8,2.0,275.0,98892.0
20180109:1000,10.09,56.9,406.0,800.62,82.0,267.2,2.41,242.0,98979.0
20180109:1100,11.4,56.45,480.0,740.26,122.0,286.0,3.1,229.0,98989.0
20180109:1200,12.15,56.4,530.0,828.52,104.0,273.8,3.72,225.0,98940.0
20180109:1300,12.5,56.4,438.0,495.67,193.0,282.8,4.34,227.0,98863.0
20180109:1400,12.5,56.75,218.0,49.38,197.0,296.0,4.62,229.0,98814.0
20180109:1500,12.31,57.85,158.0,57.71,140.0,304.8,4.34,231.0,98785.0
20180109:1600,12.0,60.35,85.0,111.21,67.0,314.6,4.07,231.0,98805.0
20180109:1700,11.55,64.5,0.0,-0.0,0.0,320.6,3.59,232.0,98834.0
20180109:1800,11.16,67.4,0.0,-0.0,0.0,320.8,3.31,239.0,98853.0
20180109:1900,10.52,75.1,0.0,-0.0,0.0,310.8,2.9,235.0,98911.0
20180109:2000,10.03,78.1,0.0,-0.0,0.0,312.4,3.03,238.0,98931.0
20180109:2100,9.5,81.65,0.0,-0.0,0.0,316.8,2.9,245.0,98960.0
20180109:2200,9.39,83.55,0.0,-0.0,0.0,335.2,2.69,245.0,98989.0
20180109:2300,9.43,84.6,0.0,-0.0,0.0,340.4,2.83,236.0,98960.0
20180110:0000,9.39,87.6,0.0,-0.0,0.0,345.2,2.83,230.0,98902.0
20180110:0100,9.34,89.3,0.0,-0.0,0.0,345.25,2.83,230.0,98853.0
20180110:0200,9.51,90.0,0.0,-0.0,0.0,350.6,2.76,231.0,98776.0
20180110:0300,9.64,91.3,0.0,-0.0,0.0,352.6,2.62,233.0,98737.0
20180110:0400,9.82,91.35,0.0,-0.0,0.0,352.0,2.69,238.0,98708.0
20180110:0500,9.96,90.75,0.0,-0.0,0.0,347.6,2.76,241.0,98679.0
20180110:0600,9.91,90.7,0.0,-0.0,0.0,335.2,3.03,244.0,98698.0
20180110:0700,9.4,90.95,0.0,-0.0,0.0,312.2,3.17,250.0,98717.0
20180110:0800,9.25,90.85,43.0,0.0,43.0,308.4,2.69,257.0,98747.0
20180110:0900,10.64,87.45,244.0,525.08,95.0,289.6,2.21,252.0,98805.0
20180110:1000,12.81,75.6,420.0,896.4,56.0,286.6,2.69,245.0,98882.0
20180110:1100,14.15,68.6,522.0,980.67,46.0,285.4,3.1,241.0,98863.0
20180110:1200,15.25,61.95,566.0,1028.46,35.0,287.4,3.17,238.0,98756.0
20180110:1300,16.12,55.0,530.0,950.22,58.0,287.4,3.24,238.0,98679.0
20180110:1400,16.7,47.9,436.0,843.5,75.0,287.4,3.1,242.0,98630.0
20180110:1500,16.86,42.6,304.0,772.03,61.0,285.6,3.17,246.0,98669.0
20180110:1600,16.37,42.2,134.0,546.25,44.0,282.2,3.31,247.0,98698.0
20180110:1700,15.27,47.75,0.0,-0.0,0.0,278.6,3.31,252.0,98776.0
20180110:1800,13.81,54.95,0.0,-0.0,0.0,274.8,3.66,257.0,98824.0
20180110:1900,12.79,61.65,0.0,-0.0,0.0,282.2,3.86,252.0,98872.0
20180110:2000,11.83,66.25,0.0,-0.0,0.0,279.2,3.93,254.0,98863.0
20180110:2100,11.16,69.45,0.0,-0.0,0.0,281.6,3.93,256.0,98882.0
20180110:2200,10.63,71.55,0.0,-0.0,0.0,284.0,4.0,259.0,98814.0
20180110:2300,10.27,72.55,0.0,-0.0,0.0,283.2,4.14,261.0,98863.0
20180111:0000,10.03,73.9,0.0,-0.0,0.0,280.8,4.0,267.0,98863.0
20180111:0100,9.96,75.35,0.0,-0.0,0.0,282.0,3.45,278.0,98834.0
20180111:0200,9.43,74.55,0.0,-0.0,0.0,272.0,2.83,288.0,98863.0
20180111:0300,8.87,73.85,0.0,-0.0,0.0,263.2,2.28,293.0,98902.0
20180111:0400,8.34,72.2,0.0,-0.0,0.0,257.8,1.86,293.0,98940.0
20180111:0500,7.58,71.1,0.0,-0.0,0.0,252.4,1.86,286.0,98931.0
20180111:0600,6.69,70.9,0.0,-0.0,0.0,250.2,2.0,288.0,98998.0
20180111:0700,7.7,65.0,0.0,-0.0,0.0,249.4,1.72,296.0,99027.0
20180111:0800,7.27,66.45,33.0,0.0,33.0,250.2,1.72,301.0,99066.0
20180111:0900,9.11,63.85,271.0,730.15,63.0,257.0,1.31,310.0,99095.0
20180111:1000,11.66,54.15,418.0,856.31,69.0,264.8,1.31,299.0,99115.0
20180111:1100,13.19,43.9,509.0,872.22,84.0,269.0,1.45,267.0,99086.0
20180111:1200,14.23,40.95,550.0,904.46,81.0,276.6,2.62,259.0,99018.0
20180111:1300,14.9,38.95,529.0,909.32,75.0,281.0,3.66,264.0,98911.0
20180111:1400,15.02,38.6,440.0,838.05,79.0,286.4,3.79,266.0,98863.0
20180111:1500,14.86,38.45,308.0,768.07,64.0,284.8,3.72,277.0,98882.0
20180111:1600,14.15,40.4,104.0,196.74,71.0,281.0,3.1,287.0,98921.0
20180111:1700,13.18,44.15,0.0,-0.0,0.0,271.6,2.83,292.0,99008.0
20180111:1800,11.79,52.2,0.0,-0.0,0.0,263.6,2.76,289.0,99066.0
20180111:1900,10.79,61.95,0.0,-0.0,0.0,264.4,2.07,292.0,99144.0
20180111:2000,9.91,62.9,0.0,-0.0,0.0,266.2,2.0,284.0,99183.0
20180111:2100,9.31,63.65,0.0,-0.0,0.0,265.0,2.0,282.0,99250.0
20180111:2200,9.42,61.85,0.0,-0.0,0.0,265.0,1.72,284.0,99250.0
20180111:2300,9.68,60.45,0.0,-0.0,0.0,263.6,1.52,295.0,99270.0
20180112:0000,9.32,63.35,0.0,-0.0,0.0,269.2,1.45,314.0,99241.0
20180112:0100,8.04,69.15,0.0,-0.0,0.0,266.2,1.52,327.0,99221.0
20180112:0200,7.19,72.7,0.0,-0.0,0.0,262.2,1.59,328.0,99212.0
20180112:0300,6.81,73.95,0.0,-0.0,0.0,272.0,1.59,327.0,99202.0
20180112:0400,6.38,74.85,0.0,-0.0,0.0,255.8,1.66,326.0,99212.0
20180112:0500,6.05,75.8,0.0,-0.0,0.0,252.0,1.66,329.0,99163.0
20180112:0600,6.1,74.95,0.0,-0.0,0.0,251.6,1.59,330.0,99212.0
20180112:0700,5.86,71.05,0.0,-0.0,0.0,248.4,1.79,340.0,99241.0
20180112:0800,6.6,68.35,35.0,0.0,35.0,247.4,1.45,335.0,99289.0
20180112:0900,8.95,60.15,273.0,727.05,65.0,249.2,0.83,316.0,99357.0
20180112:1000,11.48,60.0,421.0,850.51,73.0,254.2,0.97,229.0,99454.0
20180112:1100,13.15,49.8,515.0,880.94,84.0,261.4,2.41,199.0,99454.0
20180112:1200,13.5,52.55,551.0,879.28,93.0,266.2,2.62,204.0,99376.0
20180112:1300,13.79,51.9,533.0,902.55,80.0,269.2,2.97,212.0,99279.0
20180112:1400,13.98,49.05,422.0,698.76,119.0,271.8,2.97,211.0,99183.0
20180112:1500,13.81,47.75,307.0,723.46,75.0,271.2,2.76,206.0,99173.0
20180112:1600,13.21,50.45,146.0,620.69,40.0,269.2,2.48,204.0,99192.0
20180112:1700,12.15,58.7,0.0,-0.0,0.0,269.2,2.0,206.0,99212.0
20180112:1800,11.1,67.85,0.0,-0.0,0.0,274.4,1.66,220.0,99202.0
20180112:1900,9.9,80.1,0.0,-0.0,0.0,290.8,1.59,241.0,99212.0
20180112:2000,9.3,80.6,0.0,-0.0,0.0,293.6,1.45,262.0,99212.0
20180112:2100,9.29,77.5,0.0,-0.0,0.0,305.4,1.24,274.0,99212.0
20180112:2200,9.11,76.05,0.0,-0.0,0.0,308.4,1.24,279.0,99250.0
20180112:2300,9.1,71.65,0.0,-0.0,0.0,284.4,1.17,291.0,99212.0
20180113:0000,9.0,68.7,0.0,-0.0,0.0,271.6,1.1,302.0,99153.0
20180113:0100,8.11,67.9,0.0,-0.0,0.0,259.6,1.17,307.0,99105.0
20180113:0200,7.87,66.2,0.0,-0.0,0.0,257.6,1.17,315.0,99047.0
20180113:0300,7.63,64.6,0.0,-0.0,0.0,258.0,1.24,320.0,98979.0
20180113:0400,7.27,63.8,0.0,-0.0,0.0,259.4,1.38,325.0,98960.0
