time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150914:2200,22.7,72.55,0.0,-0.0,0.0,344.6,1.59,276.0,98030.0
20150914:2300,21.83,74.4,0.0,-0.0,0.0,340.4,1.72,277.0,98059.0
20150915:0000,21.07,75.35,0.0,-0.0,0.0,338.2,1.93,279.0,98039.0
20150915:0100,20.5,74.75,0.0,-0.0,0.0,336.05,2.21,275.0,98010.0
20150915:0200,20.13,73.8,0.0,-0.0,0.0,333.2,2.55,269.0,97991.0
20150915:0300,19.77,73.4,0.0,-0.0,0.0,330.6,2.83,266.0,97962.0
20150915:0400,19.48,72.6,0.0,-0.0,0.0,329.0,2.97,266.0,97981.0
20150915:0500,19.12,71.8,0.0,-0.0,0.0,326.0,2.97,267.0,97981.0
20150915:0600,18.67,71.15,16.0,0.0,16.0,324.2,2.97,270.0,97981.0
20150915:0700,19.15,66.0,210.0,518.49,76.0,320.6,2.55,270.0,98020.0
20150915:0800,22.45,49.5,409.0,654.93,115.0,325.2,2.97,247.0,98020.0
20150915:0900,24.06,45.1,596.0,762.68,130.0,331.4,3.93,234.0,98039.0
20150915:1000,25.14,41.7,768.0,929.56,86.0,336.6,4.55,230.0,98059.0
20150915:1100,26.08,38.35,857.0,946.09,92.0,340.4,5.24,229.0,98039.0
20150915:1200,26.82,35.2,871.0,905.35,119.0,342.4,5.66,229.0,97991.0
20150915:1300,27.29,33.25,850.0,962.08,82.0,342.4,5.86,229.0,97942.0
20150915:1400,27.38,33.0,739.0,892.48,102.0,342.0,5.93,229.0,97875.0
20150915:1500,27.1,34.75,580.0,813.32,106.0,340.8,5.72,230.0,97807.0
20150915:1600,26.65,37.55,382.0,678.15,101.0,339.0,5.52,232.0,97768.0
20150915:1700,25.89,41.7,169.0,427.44,75.0,337.4,5.24,234.0,97729.0
20150915:1800,24.78,47.85,0.0,0.0,0.0,334.2,4.41,238.0,97700.0
20150915:1900,23.98,53.5,0.0,-0.0,0.0,334.8,3.93,244.0,97710.0
20150915:2000,23.52,55.15,0.0,-0.0,0.0,338.8,3.66,249.0,97739.0
20150915:2100,23.05,56.55,0.0,-0.0,0.0,342.8,3.45,250.0,97768.0
20150915:2200,22.42,58.4,0.0,-0.0,0.0,340.0,3.38,252.0,97749.0
20150915:2300,21.79,59.7,0.0,-0.0,0.0,339.6,3.31,254.0,97758.0
20150916:0000,21.17,60.55,0.0,-0.0,0.0,331.6,3.52,255.0,97700.0
20150916:0100,20.58,60.65,0.0,-0.0,0.0,331.05,3.72,254.0,97700.0
20150916:0200,20.08,60.95,0.0,-0.0,0.0,326.6,3.79,255.0,97661.0
20150916:0300,19.63,61.2,0.0,-0.0,0.0,325.6,3.72,256.0,97623.0
20150916:0400,19.23,61.1,0.0,-0.0,0.0,323.2,3.66,257.0,97613.0
20150916:0500,18.9,60.6,0.0,-0.0,0.0,322.6,3.52,258.0,97603.0
20150916:0600,18.7,59.75,15.0,0.0,15.0,322.0,3.52,258.0,97623.0
20150916:0700,19.55,55.45,206.0,508.33,76.0,325.4,3.52,252.0,97661.0
20150916:0800,22.51,47.25,408.0,665.72,111.0,331.4,4.48,241.0,97690.0
20150916:0900,24.24,44.8,590.0,746.63,136.0,338.2,5.1,236.0,97710.0
20150916:1000,25.62,41.8,725.0,772.06,161.0,341.6,5.52,231.0,97681.0
20150916:1100,26.55,39.8,808.0,784.97,176.0,345.2,5.93,229.0,97661.0
20150916:1200,27.1,38.7,834.0,793.4,178.0,347.0,6.28,228.0,97671.0
20150916:1300,27.33,38.5,801.0,798.36,167.0,346.4,6.28,229.0,97623.0
20150916:1400,27.43,38.75,699.0,752.9,165.0,345.0,6.28,231.0,97584.0
20150916:1500,27.42,39.3,550.0,697.23,147.0,343.2,6.21,233.0,97535.0
20150916:1600,27.04,40.95,377.0,674.3,101.0,341.0,6.0,234.0,97477.0
20150916:1700,26.17,44.4,168.0,456.51,70.0,337.6,5.59,236.0,97477.0
20150916:1800,24.86,50.45,0.0,0.0,0.0,335.2,4.76,239.0,97468.0
20150916:1900,23.92,56.2,0.0,-0.0,0.0,334.2,4.34,245.0,97497.0
20150916:2000,23.31,59.35,0.0,-0.0,0.0,333.6,4.0,249.0,97545.0
20150916:2100,22.69,62.75,0.0,-0.0,0.0,333.2,3.93,250.0,97594.0
20150916:2200,22.04,66.55,0.0,-0.0,0.0,332.8,3.93,251.0,97632.0
20150916:2300,21.44,69.85,0.0,-0.0,0.0,333.2,4.07,253.0,97623.0
20150917:0000,20.88,72.35,0.0,-0.0,0.0,333.8,4.07,254.0,97623.0
20150917:0100,20.61,74.7,0.0,-0.0,0.0,336.65,4.07,254.0,97652.0
20150917:0200,20.25,76.3,0.0,-0.0,0.0,341.2,4.0,253.0,97652.0
20150917:0300,19.99,77.6,0.0,-0.0,0.0,343.6,3.72,253.0,97671.0
20150917:0400,19.83,78.25,0.0,-0.0,0.0,349.8,3.38,255.0,97710.0
20150917:0500,19.82,78.05,0.0,-0.0,0.0,353.0,2.97,255.0,97729.0
20150917:0600,19.72,78.25,14.0,0.0,14.0,349.4,2.76,256.0,97807.0
20150917:0700,20.61,73.95,207.0,533.56,72.0,348.6,2.0,254.0,97865.0
20150917:0800,22.41,65.15,406.0,665.42,111.0,349.2,2.69,232.0,97923.0
20150917:0900,23.61,59.9,586.0,746.99,134.0,348.8,3.17,223.0,97981.0
20150917:1000,24.75,54.45,729.0,801.59,146.0,352.0,3.93,217.0,98010.0
20150917:1100,25.78,48.85,814.0,814.6,161.0,358.6,4.62,217.0,98010.0
20150917:1200,26.55,43.85,840.0,823.83,162.0,356.8,5.1,215.0,97991.0
20150917:1300,26.86,40.55,801.0,812.72,159.0,355.2,5.45,215.0,97942.0
20150917:1400,26.73,38.75,686.0,723.68,176.0,351.4,5.24,216.0,97894.0
20150917:1500,26.46,38.1,533.0,643.78,164.0,347.8,4.83,219.0,97875.0
20150917:1600,26.0,38.65,359.0,598.67,117.0,345.0,4.48,223.0,97855.0
20150917:1700,25.27,41.25,163.0,448.87,69.0,337.2,3.93,226.0,97894.0
20150917:1800,24.09,47.3,0.0,0.0,0.0,332.4,2.97,229.0,97933.0
20150917:1900,23.62,51.1,0.0,-0.0,0.0,329.4,1.72,231.0,97971.0
20150917:2000,23.03,54.65,0.0,-0.0,0.0,327.6,0.97,235.0,98068.0
20150917:2100,22.15,59.2,0.0,-0.0,0.0,329.4,0.69,269.0,98146.0
20150917:2200,21.38,61.85,0.0,-0.0,0.0,327.4,0.9,295.0,98233.0
20150917:2300,20.79,62.65,0.0,-0.0,0.0,328.4,1.03,309.0,98262.0
20150918:0000,20.27,62.5,0.0,-0.0,0.0,328.4,1.1,326.0,98272.0
20150918:0100,19.88,60.95,0.0,-0.0,0.0,329.65,1.1,351.0,98281.0
20150918:0200,19.27,60.85,0.0,-0.0,0.0,331.2,1.38,24.0,98262.0
20150918:0300,18.6,64.5,0.0,-0.0,0.0,332.4,1.79,41.0,98291.0
20150918:0400,18.1,68.5,0.0,-0.0,0.0,333.0,2.07,42.0,98330.0
20150918:0500,17.87,66.5,0.0,-0.0,0.0,333.4,2.14,37.0,98349.0
20150918:0600,17.68,61.25,13.0,0.0,13.0,330.8,2.21,33.0,98378.0
20150918:0700,18.09,62.95,197.0,475.48,78.0,325.0,2.41,31.0,98436.0
20150918:0800,21.42,36.9,400.0,651.54,113.0,329.8,3.52,41.0,98495.0
20150918:0900,22.98,34.5,583.0,745.74,134.0,336.8,4.21,53.0,98533.0
20150918:1000,24.05,35.2,722.0,785.86,153.0,346.0,4.55,66.0,98572.0
20150918:1100,24.79,36.4,845.0,943.53,92.0,352.0,4.9,74.0,98543.0
20150918:1200,25.17,38.4,863.0,919.3,110.0,357.4,5.17,77.0,98543.0
20150918:1300,25.32,40.3,832.0,940.56,93.0,357.8,5.38,76.0,98514.0
20150918:1400,25.27,41.85,731.0,919.78,87.0,360.4,5.52,74.0,98456.0
20150918:1500,24.92,44.15,564.0,805.9,106.0,359.4,5.59,72.0,98407.0
20150918:1600,24.27,47.55,362.0,643.91,105.0,357.8,5.59,70.0,98388.0
20150918:1700,23.24,52.55,164.0,514.36,59.0,358.0,5.38,66.0,98427.0
20150918:1800,22.06,59.55,0.0,-0.0,0.0,354.8,5.03,61.0,98475.0
20150918:1900,21.12,67.35,0.0,-0.0,0.0,350.8,4.83,53.0,98504.0
20150918:2000,20.7,70.25,0.0,-0.0,0.0,347.6,4.48,45.0,98553.0
20150918:2100,20.3,72.95,0.0,-0.0,0.0,344.2,3.93,37.0,98601.0
20150918:2200,20.03,73.7,0.0,-0.0,0.0,347.6,4.21,34.0,98621.0
20150918:2300,19.75,73.7,0.0,-0.0,0.0,336.6,3.93,32.0,98640.0
20150919:0000,19.54,73.55,0.0,-0.0,0.0,336.6,3.79,31.0,98650.0
20150919:0100,19.24,73.25,0.0,-0.0,0.0,338.65,3.72,30.0,98640.0
20150919:0200,19.03,73.5,0.0,-0.0,0.0,338.2,3.59,28.0,98650.0
20150919:0300,18.92,74.2,0.0,-0.0,0.0,344.6,3.66,28.0,98621.0
20150919:0400,18.79,75.8,0.0,-0.0,0.0,343.4,3.72,29.0,98630.0
20150919:0500,18.76,77.0,0.0,-0.0,0.0,349.2,3.93,29.0,98659.0
20150919:0600,18.74,77.7,12.0,0.0,12.0,352.8,3.93,29.0,98698.0
20150919:0700,19.63,69.6,194.0,464.63,79.0,349.8,3.66,28.0,98776.0
20150919:0800,21.09,63.05,398.0,648.96,114.0,348.8,4.97,36.0,98824.0
20150919:0900,22.41,58.7,580.0,744.52,134.0,354.2,5.52,45.0,98872.0
20150919:1000,23.73,55.0,711.0,754.77,167.0,358.6,5.93,56.0,98902.0
20150919:1100,24.77,52.05,784.0,738.86,197.0,365.8,6.14,63.0,98882.0
20150919:1200,25.17,51.6,777.0,650.18,247.0,374.8,6.14,67.0,98882.0
20150919:1300,25.31,51.6,770.0,735.83,195.0,394.45,6.14,68.0,98863.0
20150919:1400,25.27,51.9,700.0,807.98,138.0,381.4,6.0,69.0,98843.0
20150919:1500,24.97,53.1,535.0,692.21,145.0,381.8,5.86,70.0,98795.0
20150919:1600,23.84,57.8,355.0,629.45,107.0,379.4,5.66,72.0,98814.0
20150919:1700,22.96,60.3,155.0,462.67,63.0,365.6,5.31,66.0,98814.0
20150919:1800,21.82,65.1,0.0,-0.0,0.0,350.0,4.55,60.0,98863.0
20150919:1900,21.25,66.25,0.0,-0.0,0.0,342.6,3.72,52.0,98892.0
20150919:2000,20.74,68.95,0.0,-0.0,0.0,340.0,3.24,46.0,98960.0
20150919:2100,20.33,70.55,0.0,-0.0,0.0,339.6,3.24,39.0,98998.0
20150919:2200,19.94,72.35,0.0,-0.0,0.0,337.8,2.97,32.0,99037.0
20150919:2300,19.5,73.9,0.0,-0.0,0.0,337.2,2.76,27.0,98998.0
20150920:0000,19.15,75.05,0.0,-0.0,0.0,341.0,2.55,26.0,98979.0
20150920:0100,18.58,76.7,0.0,-0.0,0.0,336.25,2.34,28.0,98969.0
20150920:0200,18.03,79.05,0.0,-0.0,0.0,333.4,2.21,30.0,98940.0
20150920:0300,17.54,80.8,0.0,-0.0,0.0,332.4,2.14,29.0,98931.0
20150920:0400,16.99,82.75,0.0,-0.0,0.0,333.0,2.14,26.0,98902.0
20150920:0500,16.54,84.35,0.0,-0.0,0.0,332.6,2.14,24.0,98921.0
20150920:0600,16.37,84.5,0.0,0.0,0.0,334.8,2.14,24.0,98931.0
20150920:0700,17.68,80.25,190.0,449.49,80.0,337.0,1.66,22.0,98979.0
20150920:0800,20.72,65.35,392.0,634.88,116.0,340.4,2.07,46.0,99008.0
20150920:0900,22.42,55.95,580.0,756.77,129.0,345.4,2.62,71.0,99027.0
20150920:1000,23.79,48.85,715.0,784.77,152.0,348.0,2.83,90.0,99057.0
20150920:1100,24.8,45.2,798.0,797.91,167.0,350.2,2.97,102.0,99018.0
20150920:1200,25.44,43.85,836.0,853.08,144.0,355.2,3.1,112.0,98979.0
20150920:1300,25.79,44.05,801.0,857.03,135.0,358.4,3.1,122.0,98969.0
20150920:1400,25.73,45.7,695.0,807.62,137.0,360.4,3.03,130.0,98872.0
20150920:1500,25.27,48.35,529.0,689.36,144.0,361.4,2.76,137.0,98843.0
20150920:1600,24.57,51.9,343.0,588.93,114.0,361.2,2.34,146.0,98843.0
20150920:1700,23.63,56.65,144.0,392.68,68.0,359.6,2.0,160.0,98824.0
20150920:1800,22.45,63.8,0.0,-0.0,0.0,357.4,1.86,178.0,98843.0
20150920:1900,20.82,77.95,0.0,-0.0,0.0,356.0,1.59,205.0,98843.0
20150920:2000,20.42,81.3,0.0,-0.0,0.0,353.2,0.9,229.0,98853.0
20150920:2100,20.4,82.15,0.0,-0.0,0.0,353.2,0.83,247.0,98834.0
20150920:2200,20.38,83.2,0.0,-0.0,0.0,358.2,1.17,252.0,98814.0
20150920:2300,20.27,84.65,0.0,-0.0,0.0,361.6,1.1,269.0,98814.0
20150921:0000,20.07,85.95,0.0,-0.0,0.0,363.0,0.83,305.0,98756.0
20150921:0100,19.88,87.6,0.0,-0.0,0.0,358.85,1.03,328.0,98698.0
20150921:0200,20.0,85.65,0.0,-0.0,0.0,356.6,0.76,341.0,98630.0
20150921:0300,19.99,85.0,0.0,-0.0,0.0,358.0,0.34,265.0,98630.0
20150921:0400,19.67,85.8,0.0,-0.0,0.0,356.2,0.76,252.0,98630.0
20150921:0500,18.79,89.8,0.0,-0.0,0.0,366.2,1.31,264.0,98669.0
20150921:0600,18.67,89.5,0.0,0.0,0.0,362.2,1.31,256.0,98659.0
20150921:0700,19.52,81.95,195.0,512.59,71.0,349.6,1.17,259.0,98698.0
20150921:0800,22.13,67.6,409.0,748.03,86.0,354.6,1.52,236.0,98669.0
20150921:0900,23.9,59.3,427.0,253.02,277.0,373.0,1.72,222.0,98688.0
20150921:1000,25.57,52.7,704.0,753.47,166.0,375.8,2.07,208.0,98698.0
20150921:1100,26.87,48.2,751.0,655.55,235.0,373.2,2.41,200.0,98640.0
20150921:1200,27.6,46.55,809.0,774.32,184.0,382.0,3.17,199.0,98562.0
20150921:1300,27.77,47.25,813.0,920.1,102.0,380.2,3.24,208.0,98495.0
20150921:1400,27.66,48.4,671.0,731.52,169.0,384.0,3.38,216.0,98456.0
20150921:1500,27.25,50.3,558.0,852.7,86.0,386.2,3.52,219.0,98398.0
20150921:1600,26.77,52.35,357.0,706.33,86.0,379.8,3.45,224.0,98369.0
20150921:1700,26.13,54.7,143.0,425.01,63.0,378.8,3.24,229.0,98398.0
20150921:1800,25.26,58.0,0.0,-0.0,0.0,376.8,2.83,236.0,98359.0
20150921:1900,24.05,72.7,0.0,-0.0,0.0,369.2,2.41,248.0,98378.0
20150921:2000,23.92,72.6,0.0,-0.0,0.0,367.8,2.48,254.0,98378.0
20150921:2100,23.79,71.8,0.0,-0.0,0.0,371.8,2.41,254.0,98407.0
20150921:2200,23.47,71.35,0.0,-0.0,0.0,368.4,2.28,262.0,98407.0
20150921:2300,23.0,71.0,0.0,-0.0,0.0,362.6,2.21,270.0,98359.0
20150922:0000,22.58,70.3,0.0,-0.0,0.0,367.8,2.14,268.0,98320.0
20150922:0100,22.28,70.85,0.0,-0.0,0.0,365.65,2.14,271.0,98281.0
20150922:0200,21.78,70.8,0.0,-0.0,0.0,362.0,2.07,280.0,98281.0
20150922:0300,21.11,71.8,0.0,-0.0,0.0,353.6,1.93,291.0,98233.0
20150922:0400,20.49,73.05,0.0,-0.0,0.0,350.0,1.86,302.0,98214.0
20150922:0500,20.0,73.9,0.0,-0.0,0.0,348.0,1.79,309.0,98233.0
20150922:0600,19.66,74.35,0.0,0.0,0.0,345.2,1.79,312.0,98214.0
20150922:0700,20.89,68.85,170.0,334.62,90.0,344.2,1.52,310.0,98233.0
20150922:0800,24.68,52.4,387.0,631.94,116.0,348.4,1.03,281.0,98252.0
20150922:0900,27.45,39.2,564.0,713.96,143.0,353.6,1.45,232.0,98262.0
20150922:1000,28.6,36.85,666.0,631.86,217.0,359.2,2.14,210.0,98272.0
20150922:1100,29.44,35.55,721.0,576.98,269.0,363.0,2.9,209.0,98233.0
20150922:1200,30.1,33.8,801.0,758.32,192.0,364.4,3.66,214.0,98165.0
20150922:1300,30.7,31.25,757.0,732.74,194.0,365.6,4.21,219.0,98078.0
20150922:1400,31.09,29.05,681.0,789.4,143.0,364.8,4.55,221.0,97991.0
20150922:1500,31.03,28.4,525.0,712.78,134.0,362.6,4.76,223.0,97933.0
20150922:1600,30.51,29.3,338.0,618.26,104.0,359.6,4.28,226.0,97855.0
20150922:1700,29.69,31.35,138.0,420.97,61.0,354.8,3.79,231.0,97845.0
20150922:1800,28.67,34.1,0.0,-0.0,0.0,349.8,3.03,241.0,97875.0
20150922:1900,27.85,34.75,0.0,-0.0,0.0,343.6,2.69,258.0,97884.0
20150922:2000,27.1,34.65,0.0,-0.0,0.0,339.6,2.55,276.0,97962.0
20150922:2100,25.89,35.6,0.0,-0.0,0.0,336.0,2.48,287.0,97991.0
20150922:2200,24.66,36.6,0.0,-0.0,0.0,331.8,2.34,300.0,98020.0
20150922:2300,23.23,38.65,0.0,-0.0,0.0,327.6,2.28,309.0,98010.0
20150923:0000,21.81,40.95,0.0,-0.0,0.0,323.2,2.28,315.0,97971.0
20150923:0100,20.49,42.95,0.0,-0.0,0.0,319.65,2.21,317.0,97962.0
20150923:0200,19.54,44.85,0.0,-0.0,0.0,317.4,2.14,317.0,97933.0
20150923:0300,18.97,45.95,0.0,-0.0,0.0,315.4,2.14,322.0,97894.0
20150923:0400,18.57,47.0,0.0,-0.0,0.0,313.6,2.0,327.0,97884.0
20150923:0500,18.24,48.2,0.0,-0.0,0.0,311.8,1.86,329.0,97904.0
20150923:0600,17.86,49.75,0.0,0.0,0.0,310.4,1.86,337.0,97942.0
20150923:0700,18.97,47.9,182.0,444.51,77.0,311.4,1.66,354.0,98010.0
20150923:0800,23.09,36.65,384.0,631.68,115.0,316.4,1.38,41.0,98107.0
20150923:0900,26.19,28.9,564.0,726.38,138.0,326.0,2.9,85.0,98204.0
20150923:1000,26.55,34.1,697.0,752.34,165.0,333.4,3.86,93.0,98233.0
20150923:1100,26.64,40.3,786.0,795.27,166.0,339.8,4.14,99.0,98252.0
20150923:1200,26.63,45.1,810.0,802.27,169.0,347.2,3.93,106.0,98223.0
20150923:1300,26.42,48.25,765.0,776.28,172.0,353.8,3.66,114.0,98194.0
20150923:1400,26.04,50.5,668.0,758.0,155.0,356.2,3.45,116.0,98165.0
20150923:1500,25.51,53.45,514.0,684.39,142.0,359.6,3.31,114.0,98165.0
20150923:1600,24.69,58.05,329.0,592.04,108.0,357.4,3.24,113.0,98194.0
20150923:1700,23.64,63.55,133.0,416.69,59.0,352.4,2.76,107.0,98243.0
20150923:1800,22.51,70.45,0.0,-0.0,0.0,349.4,2.55,101.0,98281.0
20150923:1900,21.6,79.2,0.0,-0.0,0.0,358.6,2.0,94.0,98369.0
20150923:2000,21.1,81.95,0.0,-0.0,0.0,356.2,1.86,84.0,98417.0
20150923:2100,20.8,83.45,0.0,-0.0,0.0,356.6,1.86,77.0,98466.0
20150923:2200,20.59,83.95,0.0,-0.0,0.0,364.6,2.14,65.0,98436.0
20150923:2300,20.44,83.75,0.0,-0.0,0.0,372.8,2.48,59.0,98446.0
20150924:0000,20.05,85.7,0.0,-0.0,0.0,348.0,2.28,66.0,98436.0
20150924:0100,19.55,87.85,0.0,-0.0,0.0,351.05,2.28,73.0,98436.0
20150924:0200,19.16,90.0,0.0,-0.0,0.0,351.2,2.21,69.0,98446.0
20150924:0300,18.81,91.6,0.0,-0.0,0.0,355.6,2.07,59.0,98436.0
20150924:0400,18.59,91.6,0.0,-0.0,0.0,353.4,2.14,52.0,98427.0
20150924:0500,18.45,90.7,0.0,-0.0,0.0,362.4,2.07,43.0,98466.0
20150924:0600,18.33,89.3,0.0,0.0,0.0,358.0,1.93,32.0,98475.0
20150924:0700,19.14,89.55,160.0,300.0,90.0,361.0,1.59,34.0,98543.0
20150924:0800,20.54,74.45,387.0,666.95,105.0,372.0,1.45,48.0,98572.0
20150924:0900,21.98,61.6,555.0,697.84,148.0,358.8,1.24,94.0,98621.0
20150924:1000,23.37,54.75,674.0,682.19,194.0,352.6,1.52,133.0,98640.0
20150924:1100,24.31,51.6,769.0,748.91,188.0,354.0,2.21,149.0,98630.0
20150924:1200,24.92,49.85,796.0,771.24,183.0,366.4,2.41,157.0,98611.0
20150924:1300,25.09,49.85,773.0,820.35,150.0,372.2,2.83,159.0,98611.0
20150924:1400,24.48,52.75,663.0,755.94,155.0,387.2,2.9,160.0,98553.0
20150924:1500,23.78,55.35,508.0,681.49,141.0,369.8,3.1,157.0,98553.0
20150924:1600,23.16,57.15,329.0,622.16,100.0,360.6,2.55,157.0,98543.0
20150924:1700,22.34,60.0,130.0,429.56,56.0,356.0,1.79,144.0,98562.0
20150924:1800,21.51,64.4,0.0,-0.0,0.0,351.4,1.52,124.0,98591.0
20150924:1900,21.06,65.4,0.0,-0.0,0.0,341.0,0.97,112.0,98621.0
20150924:2000,20.77,67.0,0.0,-0.0,0.0,347.8,0.97,96.0,98679.0
20150924:2100,20.45,69.25,0.0,-0.0,0.0,340.8,0.97,88.0,98717.0
20150924:2200,19.94,75.2,0.0,-0.0,0.0,340.0,0.83,85.0,98727.0
20150924:2300,19.59,76.15,0.0,-0.0,0.0,339.0,0.69,71.0,98766.0
20150925:0000,19.35,77.05,0.0,-0.0,0.0,339.6,0.76,47.0,98717.0
20150925:0100,19.23,77.6,0.0,-0.0,0.0,338.05,0.76,37.0,98669.0
20150925:0200,19.13,78.9,0.0,-0.0,0.0,334.2,0.76,26.0,98611.0
20150925:0300,18.9,80.85,0.0,-0.0,0.0,331.8,0.83,19.0,98572.0
20150925:0400,18.61,82.85,0.0,-0.0,0.0,330.0,0.9,17.0,98572.0
20150925:0500,18.42,84.05,0.0,-0.0,0.0,335.2,0.9,14.0,98591.0
20150925:0600,18.39,83.65,0.0,0.0,0.0,330.0,0.9,14.0,98601.0
20150925:0700,18.35,81.1,181.0,473.03,72.0,318.8,0.76,352.0,98650.0
20150925:0800,20.49,67.55,386.0,676.57,102.0,322.8,0.48,71.0,98688.0
20150925:0900,22.05,60.05,570.0,779.38,118.0,329.2,1.03,121.0,98679.0
20150925:1000,23.49,51.8,701.0,794.21,145.0,334.6,1.59,142.0,98669.0
20150925:1100,24.59,45.8,778.0,792.82,166.0,338.8,2.14,155.0,98650.0
20150925:1200,25.28,42.7,819.0,863.86,136.0,342.2,2.69,168.0,98611.0
20150925:1300,25.42,42.6,793.0,915.33,102.0,344.4,3.1,176.0,98582.0
20150925:1400,24.85,44.9,680.0,845.32,116.0,358.2,2.83,189.0,98514.0
20150925:1500,24.5,46.4,511.0,719.8,127.0,347.0,2.48,195.0,98446.0
20150925:1600,24.19,46.85,322.0,606.31,102.0,355.0,2.0,196.0,98436.0
20150925:1700,23.69,47.95,123.0,395.33,57.0,344.2,1.66,194.0,98417.0
20150925:1800,22.89,51.9,0.0,-0.0,0.0,346.0,1.52,199.0,98446.0
20150925:1900,21.79,66.95,0.0,-0.0,0.0,331.6,1.24,209.0,98495.0
20150925:2000,21.25,71.15,0.0,-0.0,0.0,325.8,1.38,228.0,98524.0
20150925:2100,20.73,75.4,0.0,-0.0,0.0,322.8,1.66,244.0,98562.0
20150925:2200,19.9,81.0,0.0,-0.0,0.0,321.4,1.59,264.0,98562.0
20150925:2300,19.02,85.8,0.0,-0.0,0.0,319.0,1.52,280.0,98533.0
20150926:0000,18.46,87.7,0.0,-0.0,0.0,317.0,1.45,290.0,98514.0
20150926:0100,18.14,87.25,0.0,-0.0,0.0,314.85,1.38,296.0,98504.0
20150926:0200,18.11,85.35,0.0,-0.0,0.0,314.4,1.24,304.0,98485.0
20150926:0300,18.58,80.95,0.0,-0.0,0.0,314.6,1.03,310.0,98427.0
20150926:0400,18.48,78.6,0.0,-0.0,0.0,315.0,0.97,317.0,98436.0
20150926:0500,18.17,77.45,0.0,-0.0,0.0,315.0,0.97,317.0,98436.0
20150926:0600,17.9,76.45,0.0,0.0,0.0,315.8,1.03,315.0,98466.0
20150926:0700,18.01,77.5,177.0,461.55,72.0,314.4,0.97,310.0,98514.0
20150926:0800,20.82,59.0,374.0,626.39,113.0,325.2,0.21,219.0,98524.0
20150926:0900,22.49,52.5,563.0,764.78,122.0,331.4,1.17,165.0,98562.0
20150926:1000,23.62,48.95,693.0,778.21,151.0,339.0,1.86,168.0,98601.0
20150926:1100,24.4,48.3,765.0,763.0,179.0,355.0,2.28,171.0,98572.0
20150926:1200,24.74,48.65,783.0,755.34,189.0,351.2,2.41,175.0,98553.0
20150926:1300,24.44,50.6,776.0,864.9,127.0,356.0,2.28,183.0,98485.0
20150926:1400,24.56,50.35,660.0,782.03,142.0,362.4,2.07,186.0,98466.0
20150926:1500,24.31,49.0,520.0,787.25,104.0,364.0,1.31,210.0,98417.0
20150926:1600,24.55,45.95,301.0,506.12,120.0,362.6,1.03,181.0,98407.0
20150926:1700,24.12,48.9,118.0,389.77,55.0,357.0,1.24,162.0,98427.0
20150926:1800,23.13,55.65,0.0,-0.0,0.0,342.8,1.1,160.0,98456.0
20150926:1900,22.15,63.65,0.0,-0.0,0.0,355.8,0.55,173.0,98504.0
20150926:2000,21.68,67.0,0.0,-0.0,0.0,351.6,0.76,111.0,98514.0
20150926:2100,21.11,71.4,0.0,-0.0,0.0,334.8,0.76,78.0,98543.0
20150926:2200,20.38,78.75,0.0,-0.0,0.0,337.8,0.83,31.0,98601.0
20150926:2300,19.99,78.2,0.0,-0.0,0.0,330.2,0.83,24.0,98582.0
20150927:0000,20.01,77.45,0.0,-0.0,0.0,330.0,0.83,40.0,98591.0
20150927:0100,19.87,77.65,0.0,-0.0,0.0,323.25,0.55,63.0,98572.0
20150927:0200,19.63,78.55,0.0,-0.0,0.0,321.2,0.34,86.0,98572.0
20150927:0300,19.4,79.8,0.0,-0.0,0.0,326.8,0.34,59.0,98543.0
20150927:0400,19.07,81.5,0.0,-0.0,0.0,326.2,0.76,34.0,98543.0
20150927:0500,18.59,82.9,0.0,-0.0,0.0,324.6,1.1,24.0,98543.0
20150927:0600,17.47,85.55,0.0,0.0,0.0,321.8,1.38,19.0,98553.0
20150927:0700,18.76,78.15,175.0,463.17,71.0,331.4,0.9,19.0,98630.0
20150927:0800,19.99,71.6,373.0,635.95,110.0,349.0,1.03,64.0,98669.0
20150927:0900,21.57,63.0,551.0,722.16,137.0,358.4,1.45,85.0,98679.0
20150927:1000,23.13,55.75,678.0,734.66,169.0,338.2,1.93,98.0,98708.0
20150927:1100,24.1,51.15,766.0,776.1,173.0,344.8,2.28,108.0,98698.0
20150927:1200,24.78,48.5,753.0,669.96,229.0,349.8,2.55,114.0,98698.0
20150927:1300,24.48,48.8,717.0,673.11,215.0,359.2,2.14,115.0,98688.0
20150927:1400,24.42,48.85,477.0,244.86,316.0,361.6,1.86,113.0,98630.0
20150927:1500,24.53,48.0,400.0,319.1,233.0,360.0,1.93,103.0,98582.0
20150927:1600,24.58,46.45,170.0,51.08,152.0,362.0,2.14,90.0,98562.0
20150927:1700,24.12,50.3,90.0,166.32,64.0,350.0,3.17,91.0,98524.0
20150927:1800,22.64,61.8,0.0,-0.0,0.0,340.2,3.38,84.0,98572.0
20150927:1900,21.55,70.65,0.0,-0.0,0.0,358.0,3.38,72.0,98630.0
20150927:2000,20.66,77.3,0.0,-0.0,0.0,343.2,2.97,69.0,98669.0
20150927:2100,20.01,81.35,0.0,-0.0,0.0,338.8,2.76,60.0,98727.0
20150927:2200,19.5,83.95,0.0,-0.0,0.0,337.8,3.03,52.0,98756.0
